input_name,number,name,status,date_of_creation,sic_codes,address
1st Airport Taxis LTD,,,,,,
2 Bro's Pizza & Dessert Ltd,,,,,,
2 Karaks Ltd,,,,,,
247 Bluebell Care Ltd,,,,,,
3 EM Limited,,,,,,
365 Childminding Ltd,,,,,,
3AK Luton Limited,,,,,,
3X Sports Limited,,,,,,
4MS SERVICES LTD,,,,,,
5APART LIMITED,,,,,,
7 Plus Travel Ltd,,,,,,
8TWENTY3 LIMITED,,,,,,
A & S food Store,,,,,,
A & Z Dry Cleaners,,,,,,
A A PROPERTY INVESTMENT (LUTON) LIMITED,,,,,,
A and U Capital Ltd,,,,,,
A and Z Gas and Plumbing Specialist,,,,,,
A N Plumbing & Electrical,,,,,,
A P Sampson Ltd,,,,,,
A T Oliver & Sons Ltd,,,,,,
A&A Homecare Ltd,,,,,,
A&V Stores Ltd,,,,,,
A1 Minibus and Coach Ltd,,,,,,
AAHA FOODS PVT LIMITED,,,,,,
AAMAAN LIMITED,,,,,,
AARVIENTERPRISE5912,,,,,,
AB SOFTWARE SOLUTIONS LTD,,,,,,
AB3RECRUITMENT LTD,,,,,,
ABAM Foods Limited,,,,,,
Abbott Solicitors LLP,,,,,,
Abdul Halal Meat Marsh Farm Ltd,,,,,,
Abe Zamzam Ltd Trading As Pepes piri piri,,,,,,
Accountancy Global Services Ltd t/a Acumen Plus,,,,,,
Accountant for Business Ltd,,,,,,
Acron Services Ltd,,,,,,
Active Support (Luton) Ltd,,,,,,
ADEX360 LTD,,,,,,
Adobe Properties Limited,,,,,,
ADORATE LTD,,,,,,
Aegis Group of Companies t/a Aegis Support Services,,,,,,
AFC Dunstable Limited,,,,,,
Agape Superbe Care Ltd,,,,,,
AGC TELECOMS LTD.,,,,,,
Ahmed & Gul Ltd T/A Bluebird Care,,,,,,
Ahmed Food Store,,,,,,
AJK BUILDERS & RENOVATORS LTD,,,,,,
AK Premuim Events,,,,,,
AK RETAILERS LTD,,,,,,
AK WINDOWS SOUTH LTD,,,,,,
AL FALAH BUSINESS LIMITED,,,,,,
Al Meezan Enterprise Limited t/a Subway,,,,,,
AL SAAD TRADERS LTD,,,,,,
ALB BRICKWORK LIMITED,,,,,,
Albert Green Limited,,,,,,
ALEXIA ESTATES MANAGEMENT LIMITED,,,,,,
Ali & Co Accountants Limited T/A Ali & Co Accountants,,,,,,
Ali Brothers Produce LTD,,,,,,
ALIZ WORLD LTD,,,,,,
All Saints Academy Dunstable,,,,,,
Allied Global Traders Ltd T/A Buy Macs,,,,,,
ALPHA BOILER PLUMBING AND HOME IMPROVEMENT LTD,,,,,,
Alza Accounting & Management Solutions Ltd,,,,,,
"AM Builders (Luton) Ltd,.",,,,,,
AM Plumbing and Heating Services Limited,,,,,,
Amaan Trading Limited,,,,,,
Amar Akachat  T/a The Milan Barbers,,,,,,
Amazing Health Ltd,,,,,,
AmberGreen Health & Social Care Ltd,,,,,,
Amir Shahzad T/A Red Hairdresser,,,,,,
Amzia Ltd,,,,,,
Anritsu,,,,,,
AP Dairies Limited,,,,,,
Apostolic Church,,,,,,
APOTHECARY BROTHERS LTD,,,,,,
ApplianceTEK London Limited,,,,,,
APPSYNC DESIGNS LTD,,,,,,
Appsync Technologies Limited,,,,,,
APT Care Limited,,,,,,
Argon Electronics UK Ltd,,,,,,
Arish Global Services Ltd,,,,,,
Aristone Limited t/a Aristone Solicitors,,,,,,
ARITA LIMITED T/a ARITA RECRUITMENT,,,,,,
Arjun Trading Ltd T/A Whitehorse Vale Stores,,,,,,
ART SWEETS LIMITED,,,,,,
Arvent Estates Ltd,,,,,,
ARYAN BUILDERS LTD,,,,,,
Aryzta Bakeries UK Ltd.,,,,,,
ASAP Staffing Limited,,,,,,
Ascon Care Services Limited,,,,,,
ASHFAQ LIMITED,,,,,,
ASHIYANA INDIAN LUTON LTD TA ASHIYANA,,,,,,
ASHVALE PLANT HIRE LIMITED,,,,,,
AT GILL ENTERPRISES LTD,,,,,,
August Martyn Accountants Limited,,,,,,
Auto Mall Ltd,,,,,,
Auto Zone Peterborough Ltd,,,,,,
Autovision Luton Limited,,,,,,
AVC TECH LIMITED,,,,,,
Axis Communications UK Limited,,,,,,
AYB Automotives Ltd,,,,,,
A-Z Autospares Ltd,,,,,,
